price,timestamp,lastupdateid,pricechange,pricechangepercent,weightedavgprice,prevcloseprice,lastprice,lastqty,bidprice,bidqty,askprice,askqty,openprice,highprice,lowprice,volume,quotevolume
60990.07,2024-08-10 00:20:06.361389,50146135829,-571.62000000,-0.92900000,60621.85713511,61561.69000000,60990.07000000,0.00275000,60990.07000000,3.06357000,60990.08000000,1.28098000,61561.69000000,61680.50000000,59535.00000000,30454.80703000,1846226960.84997300
61198.0,2024-08-10 00:25:06.927068,50146532471,-262.17000000,-0.42700000,60627.91800900,61460.18000000,61198.00000000,0.05870000,61197.99000000,3.63358000,61198.00000000,0.37708000,61460.17000000,61680.50000000,59535.00000000,30792.91246000,1866910171.88325430
60982.0,2024-08-10 00:30:07.013116,50146826228,-546.00000000,-0.88700000,60628.20793450,61528.00000000,60982.00000000,0.03175000,60981.99000000,1.91273000,60982.00000000,2.27634000,61528.00000000,61680.50000000,59535.00000000,30887.21931000,1872636754.84507630
60812.17,2024-08-10 00:35:08.47885,50147085511,-763.84000000,-1.24000000,60625.45828028,61576.01000000,60812.17000000,0.00009000,60812.16000000,3.65185000,60812.17000000,1.36488000,61576.01000000,61598.44000000,59535.00000000,30885.77836000,1872464467.41803900
60696.82,2024-08-10 00:40:07.367688,50147301981,-813.19000000,-1.32200000,60620.87372998,61510.00000000,60696.82000000,0.00026000,60696.82000000,2.44548000,60696.83000000,0.90187000,61510.01000000,61573.27000000,59535.00000000,30824.45320000,1868605285.23293040
60636.0,2024-08-10 00:45:07.290636,50147541372,-737.57000000,-1.20200000,60616.28177615,61373.56000000,60636.00000000,0.00275000,60636.00000000,1.15947000,60636.01000000,3.53063000,61373.57000000,61573.27000000,59535.00000000,30759.59858000,1864532494.84641840
60676.45,2024-08-10 00:50:06.733858,50147773300,-713.57000000,-1.16200000,60614.06754055,61390.03000000,60676.45000000,0.03658000,60676.44000000,1.37527000,60676.45000000,1.83206000,61390.02000000,61573.27000000,59535.00000000,30733.13931000,1862860581.86942400
60579.54,2024-08-10 00:55:06.856714,50147933425,-744.46000000,-1.21400000,60610.96941204,61323.99000000,60579.54000000,0.00619000,60579.53000000,2.85091000,60579.54000000,1.85341000,61324.00000000,61573.27000000,59535.00000000,30653.42781000,1857933975.36605050
60541.91,2024-08-10 01:00:07.577923,50148046069,-684.35000000,-1.11800000,60606.32645889,61226.25000000,60541.91000000,0.00018000,60541.91000000,0.13060000,60541.92000000,3.25983000,61226.26000000,61573.27000000,59535.00000000,30492.70802000,1848051016.87569570
60612.82,2024-08-10 01:05:07.416942,50148197788,-192.40000000,-0.31600000,60600.47441095,60805.21000000,60612.82000000,0.00215000,60612.81000000,3.39238000,60612.82000000,0.06714000,60805.22000000,61573.27000000,59535.00000000,30054.74827000,1821332003.46374420
60699.0,2024-08-10 01:10:06.464374,50148325350,-338.36000000,-0.55400000,60598.67328132,61037.13000000,60698.76000000,0.00010000,60698.76000000,2.82395000,60698.77000000,0.21774000,61037.12000000,61573.27000000,59535.00000000,29903.50168000,1812112528.27369200
60917.99,2024-08-10 01:15:06.584563,50148499649,-222.00000000,-0.36300000,60598.31406632,61140.00000000,60917.99000000,0.05375000,60917.98000000,3.11405000,60917.99000000,0.10729000,61139.99000000,61573.27000000,59535.00000000,29937.50353000,1814162241.27261330
60784.03,2024-08-10 01:20:07.335244,50148644503,-351.01000000,-0.57400000,60596.35489546,61135.04000000,60784.03000000,0.00053000,60784.03000000,2.89759000,60784.04000000,0.72123000,61135.04000000,61573.27000000,59535.00000000,29875.38598000,1810339491.48287730
60661.25,2024-08-10 01:25:07.085448,50148750735,-595.09000000,-0.97100000,60594.44222503,61256.35000000,60661.25000000,0.00547000,60661.24000000,2.47584000,60661.25000000,3.39360000,61256.34000000,61573.27000000,59535.00000000,29828.96085000,1807469244.85801740
60630.01,2024-08-10 01:30:06.243241,50148823902,-611.85000000,-0.99900000,60592.24106039,61241.85000000,60630.00000000,0.00019000,60630.00000000,0.55058000,60630.01000000,6.38843000,61241.85000000,61573.27000000,59535.00000000,29746.96304000,1802435155.33414150
60640.75,2024-08-10 01:35:06.486201,50148958569,-615.99000000,-1.00600000,60590.38238648,61256.75000000,60640.75000000,0.04869000,60640.75000000,3.86136000,60640.76000000,0.62965000,61256.74000000,61573.27000000,59535.00000000,29695.20525000,1799243841.14237830
